"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on July 22, 2021","Milo S","yes","-","Not absorbent","If you want a soft towel, buy these. If you want an absorbent towel, do not buy these. I really wanted to like these towels but they simply don't do the job they are supposed to do. Your skin will still have a layer of wetness which I find super annoying and uncomfortable. Will be returning so I can't comment on durability.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R3UMM6OL9A5WAH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B07ZRYZGFK","Size: 6 Piece Towel Set | Color: Sand Taupe"
"Reviewed in the United States on January 24, 2021","Jason","yes","-","Released a LOT of Dye Over Multiple Washes","I washed these and put them through 2 rinse cycles. After that, I tried to use them in the shower and they were releasing so much dye I could see it in my lather and the water going down the drain had a LOT of color in it too. I washed again with 2 more rinse cycles and it got a little bit better. After 2 more washes I think it has finally stopped. It took 4 washes with a total of 6 rinse cycles and multiple showers for the releasing of the dye to stop. Meanwhile it has stained some of my towels and my clothes hamper liner. There are much better products out there, don’t waste your time.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R362EY2TH5Y8PD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B08572H382","Size: 4 Piece Washcloth Set | Color: Turquoise Blue"
"Reviewed in the United States on August 29, 2021","Brier","yes","-","I returned these","I can’t attest to the absorbency or how they feel because I never ended up using them. These were labeled as a peach color and they’re closer to a salmon, even a bit on the bright side. I thought the color would be duller, but they were just too bright for what I wanted. I’m sure they’re nice quality though.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R2PWFQD97V1WLS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B07NF3TLY3","Size: 3 Piece Towel Set | Color: Malibu Peach"
"Reviewed in the United States on August 7, 2021","mada989","yes","-","Still shedding after 6 wash cycles","Very soft at first but try using when wet and you’ll be left in a thick layer of fuzz. Even after wash cycle after wash cycle trying all the tricks i read on Google but leaves a huge messy trail of lint everywhere. Weird because the gray ones I bought are just fine but the black would not stop shedding",1,"-","-","https://www.amazon.com/gp/customer-reviews/R17JCEIORKJ1QM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B07Z6J5DB1","Size: 6 Piece Towel Set | Color: Black"
"Reviewed in the United States on January 6, 2021","Devil Ape","yes","-","Garbage","I was excited for my towel set Isince they had good reviews and was on sale. I washed them before use of course and Total disappointment, all the towels leave so much lint. I dried myself after the showered and I had blue lint from head to toe causing me to rinse myself again. I tried to give them another chance thinking it was maybe the first try but nope same thing every time with all the towels. If you’re planing on buying these just throw your money in the trash basically the same thing",1,"-","-","https://www.amazon.com/gp/customer-reviews/RN8KLPOFXWI8U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B07ZRYRHHK","Size: 6 Piece Towel Set | Color: Navy Blue"
"Reviewed in the United States on July 7, 2021","Bethany","yes","-","Great Towels!","It was hard to select towels online when I couldn't touch them.  These turned out to be thick and of good quality.  I am glad I washed them before I used them because a lot of lint ended up in the dryer's lint catcher.  I bought them several months ago and the color is not fading.  I still wash them seperatly because there is still a lot of lint.  I will buy these again.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R27WET3144WUBZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B01H65F6PA","Size: 6 Piece Towel Set | Color: Turquoise Blue"
"Reviewed in the United States on January 26, 2021","PIP","yes","-","Wouldn't buy again","I have had the blue set for a month now & washed six times.  They are fairly soft & absorbent.  A little smaller than average bath towel, but adequate.  They are still ""shedding"".  When use end up with fuzz all over.  They have already faded, but are still bleeding.  When wring wash cloth, can see color running in sink.  Leaves all lint over face.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R4DIZFRSXHVME/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B07ZRYRHHK","Size: 6 Piece Towel Set | Color: Navy Blue"
"Reviewed in the United States on July 21, 2021","Piggles","yes","-","Too much fuzz","I can’t even review the softness and absorbency of these towels because I’m so distracted by all the fuzz. I ordered the black. I’ve washed them twice but they’re still shedding. If we wash our hands (or face, body, etc) and use these to dry our skin, we end up coated with little black fuzzies.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R16A9ER2POJYRK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B08W23ZL2R","Size: 4 Piece Bath Towel Set | Color: Black"
"Reviewed in the United States on May 5, 2021","Wendelin Keller","yes","-","Love this company's towels","Thick and fluffy. wash separately or with like colors if you get a strong color (common sense)be aware that the largest towel sizes they sell are over 6ft long and are likely larger than you expected. Unless you are looking for a luxury beach towel ;p. the 2nd largest size is the ample queen sized towel",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1IB4XLGF039MV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B08QCJWTVR","Size: 4 Piece Bath Towel Set | Color: Burgundy Red"
"Reviewed in the United States on August 28, 2021","M. Jones-Rice","yes","-","If you want to permanently stain your bathtub or shower floor, this is for you","I purchased the red washcloths for use while in shower and bathtub. Red dye on these is really intense. Washed numerous times and dye still bled while using. White porcelain is now permanently stained. Wonder what it did to my skin. That’s really not a good thing. Inexcusable for a towel.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1V02JZ445RC0X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08RP8M6T5","B08573LXWY","Size: 4 Piece Washcloth Set | Color: Burgundy Red"
