"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on November 20, 2020","Adena","yes","yes","Terrible - do not buy (read reviews)","These must be the flimsiest towels that I have in my home. They are so light that I know they cannot be absorbent. So I will not be using them.But as they say, you get what you pay for. Please read the comments!",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2APOU9RTHC6ET/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07Y23GQNR","Color: Green"
"Reviewed in the United States on January 20, 2021","Kshama","yes","yes","Thin and had a weird smell when it arrived!","A cheap feeling set of towels with an extremely weird (kinda spicy?!) smell when they arrived. Also, it leaves behind cloth balls after wiping :\ Not happy with the quality at all.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3NA2I5P86VCAD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B082QRRSF6","Color: Chocolate Brown"
"Reviewed in the United States on August 29, 2021","Juliet","yes","yes","Worst towels of all time","The are literally the worst towels I have ever seen. It's like wiping yourself with a nylon.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1E9VIF7U2OH36/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHD4S4H","Color: Navy"
"Reviewed in the United States on October 11, 2020","P. M. Picciano","yes","yes","Thin. Turned into cleaning rags","Very disappointed in this set. It is so thin. Does not look like the photo. They are not very absorbent. I cut them up and i am using them as rags",1,"-","-","https://www.amazon.com/gp/customer-reviews/RH62LZM8OAJEA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TY1NKV3","Color: Light Grey"
"Reviewed in the United States on August 16, 2020","Ashley Pernell","yes","yes","Cheap cheap cheap","I dispise that I have to clean fuzz off my body when using these towels,  it makes  me want to throw the whole set away. Towels feels cheap too, very thin.  I will look elsewhere.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R22D40TOV8SFYL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GH7Y4W1","Color: Teal"
"Reviewed in the United States on February 24, 2021","Henry Bingham","yes","yes","Very disappointing","These towels are not ultra soft nor are they oversized. They are the size of a regular towel, scratchy and wicked thin.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2698RG10Z3N8N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHBW7N2","Color: Sky Blue"
"Reviewed in the United States on January 5, 2021","Rachel","yes","yes","Thin","Very thin. Only using them for display in my bathroom, the lilac color is pretty. All in all they are cheap.",2,"-","-","https://www.amazon.com/gp/customer-reviews/RYAGREAJU0AZC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TY1MNY9","Color: Purple"
"Reviewed in the United States on August 31, 2021","mary","yes","yes","Not worth it","I can't really say that it is a good product because after a few wash they still leave fleece on your face, too thin as well, not good",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1PXTN8V7E6GEU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHD4S4H","Color: Navy"
"Reviewed in the United States on March 16, 2021","Sandra Anderson","yes","yes","Poor","This is a poorly quality towels. I only use them for to decoration. I would never recommend these towels",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1VXAAUXF17ZJO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07TY1MNY9","Color: Purple"
"Reviewed in the United States on March 1, 2021","Leeann ","yes","yes","Awful, not worth your money.","DO NOT BUY THESE TOWELS. I’ve had them for about a month, and could not be more disappointed. The dye runs terribly, and stained my dryer blue. Even after multiple washes, the towels still have an unbelievable amount of lint, and every time I try to dry off I get covered in blue fuzz. The fabric is ALSO starting to fray and unravel after only a month of use and a few washes.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2F7RIIHD3MUEZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07Y22QK1S","B07GHD4S4H","Color: Navy"
